title,amount,department,date,city,views,details
Forced to pay 100 rupees bribe for LL test,100,Driving Licenses and Tests,"October 13, 2020","Bangalore, Karnataka",1088,Mr. Kamal Babu and another accomplice of his at KR Puram RTO is forcing everyone who is appearing for LL test (the ones who failed their first attempt...
Misusing of power and traping people in false case to make money,"15,000",FIR and Complaints,"October 13, 2020","Siwan, Bihar",1106,This incident took on 12.10.2020 at around 4pm in nautan thana jurisdiction. A business deiver after offloading his pick  up and was returning to his ...
Traping of small business man by misusing rules and policies.,"15,000",Policies and Procedures,"October 13, 2020","Siwan, Bihar",1045,This incident took on 12.10.2020 at around 4pm in nautan thana jurisdiction. A business deiver after offloading his pick  up and was returning to his ...
Bribe paid to VAO for patta transfer,"5,000",Others,"October 10, 2020","Coimbatore, Tamil Nadu",1180,Athipalayam VAO Amir took bribe  of Rs 5000 for patta transfer of my land on Oct 18th...
Police officer asked bribe to clear passport verification,500,Police Clearance Certificate,"October 10, 2020","Bangalore, Karnataka",1996,Police officer are very rude and threaten to reject passport if we dont give them the money they asked for....
Driving license issuance process is a joke,"2,500",Driving Licenses and Tests,"October 9, 2020","Hyderabad, Telangana",1134,Visit Kondapur RTA. The area is filled with xerox outlets who actually host agents providing this service. Motor driving school call out the shop name...
Trader license ,"4,000",Registrations and Licenses,"October 6, 2020","Mysore, Karnataka",1481,"I have paid RS.4000/= bribe to area inspector,of MCC zone 3  to get the license,..."
For FRRO Approval 10000/- ,"10,000",Visa,"September 8, 2020","Noida, Uttar Pradesh",1330,For Frro Approval Mr Sachin (Noida FRRO Officer) ask us to pay 10000/- bribe after that only he will approve it.  In that form clearly mention no need...
Jagadish Panchayat clerk took bribe from me to katha,"40,000",Others,"September 7, 2020","Bangalore, Karnataka",1410,Mr jagadish and Venkatappa who are working in Panchayat office they are corrupted officers.they take bribe from poor peoples and farmers in doddathogu...
I paid bride in the sub Register office,"20,000",Property Registration,"September 7, 2020","Bangalore, Karnataka",1309,We have all proper documents to register a property yet we paid Rs.20000 bribe to the stamp person on Sept 7th 2020 which is later distributed among t...
Passport Police Verification,500,Verification and Certificates,"September 6, 2020","Bangalore, Karnataka",1767,"I was asked to visit for police verification for the renewal of my daughter (minor) passport. Showed him Aadhar, Old Passport, and Last year's school ..."
Bribe for katha,"10,000",Khata,"September 5, 2020","Ramnagar, Bihar",937,Venkataramanaiah 29.08.20 1:30pm Marur handpost  Village accountant or secratory This guy took 10000 for katha I have done registration fee days back ...
Bribe taken by traffic polive,"2,000",Driving Licenses and Tests,"September 4, 2020","Howrah, West Bengal",1176,"I was driving when there was a turn to my left where a bus was going, I was following the instructions given by GPS, so I followed the bus, later a tr..."
CDSCO FOR DIAGNOSTIC KIT APPROVAL,"2,00,000",Drugs License,"September 1, 2020","Ambala, Haryana",1115,Had to pay Rs 2 lac to CDSCO Drug Inpector team who had come to inspect factory for diagnostic kit manufacturing to get CDSCO approval for product....
DISTRICT DRUG INSPECTOR NEEDS ANNUAL RENEWAL FEES,"1,00,000",Drugs License,"September 1, 2020","Ambala, Haryana",1107,The District Drugs Inspector Ambala causes harassment by asking bribe otherwise he said that he has the power to seal the factory producing diagnostic...
Quarantine issues at the airport,"5,000",Visa,"August 30, 2020","New Delhi, Delhi",1580,An officer today is going to allow 2 passengers an exemption to go for home quarantine. They are arriving on flight UL195 from Australia to New Delhi....
Paid a bribe for obtaining my original marksheets and certificate,300,College Leaving Certificate,"August 29, 2020","Patna, Bihar",2402,"It happened approx 15 years ago, so don't remember the exact dates (date mentioned above is indicative only) and the name of the staff. I studied Inte..."
Constant Flow of Bribe,"15,000",Building and Housing,"September 25, 2020","Sirsa, Haryana",829,"I own a Private Firm that provides services that are completely dependent on Municipal Council, Sirsa. Almost everyone in the Municipal Council is ask..."
To encash cheque/KYC,500,Loan Sanctioning,"September 23, 2020","Supaul, Bihar",1659,"Dear sir,  I would  like to inform you that many illegal activity is happening in the bank.  Bank employee is taking 500 rupees to encash cheque in th..."
Labour inspector asked to pay bribe of rs.6000 for Shop & establishment act licence.,"6,000",Registrations and Licenses,"September 23, 2020","SAS Nagar, Punjab",1223,"Plz.note,I did apply for shop & establishment act licence online & the information I was given is as under: Name of the inspector- Ram singh. Jurisdic..."
"Peshkar corrupt, inhuman,deshdrohi, samaz ke lie  khatra","1,000",Court Related,"September 23, 2020","Ghaziabad, Uttar Pradesh",8342,"Went to district consumer forum ghaziabad for my case at 11am in morning on 10 of August for submitting some documents, at RDC ghaziabad room no.202. ..."
I paid bribe to police who came for passport verification,500,Verification and Certificates,"September 18, 2020","Bareilly, Uttar Pradesh",1351,I paid bribe to police who came for passport verification.  Date 18 September 2020. Time 4.30 pm Reason - Passport verification. Amount - Rs 500 Cash...
VEHICLE HAS TAKEN UNDER THEIR CUSTODY,200,"Traffic Fines, Penalties, Rules","September 16, 2020","Ulhasnagar, Maharashtra",1063,"DEAR TEAM,                               I HAS PARKED MY VEHICLE IN PARKING AREA BUT THEY TAKEN MY VEHICLE UNDER THEIR CUSTODY THEY TOLD ME IF YOU NEE..."
For drug license,"40,000",Drugs License,"September 15, 2020","Garhwa, Jharkhand",1078,"Here in Jharkhand, in palamu division of Drug inspector office. There is a price seted by drug inspector for Drug license is 40000, everyone have to p..."
Peshkar fraud,"1,000",Court Related,"September 10, 2020","Ghaziabad, Uttar Pradesh",2212,"RDC ghaziabad, peshkar of district consumer forum had stolen my court related papers,by sending male advocate nearby my seat in court,my proof had sto..."
"Hello, I have a question? How can I get your advice and valuable…",100,Others,"September 10, 2020","Abhayapuri, Assam",1558,"Hello, I have a question? How can I get your advice and valuable experience?..."
Police constable threatened  me to detain my bike.,100,"Traffic Fines, Penalties, Rules","September 9, 2020","Ahmedabad, Gujarat",1735,"While passing from Kalaupur bus station to Kalupur railway station on my bike on Monday, 7th Sep, 2020. Constable names Sujitsinh Rathor suddenly stop..."
Bribe for Inter state travel during Corona time at border check post,"1,000",Tax and Permits,"August 29, 2020","Bangalore, Karnataka",1304,"Hello sir, This complaint is in regards to bribery from the border checkpost Police during the Corona time asking for EPass even when the Governmemt o..."
Bc ne paise le liye,500,Autorickshaws,"August 27, 2020","Hyderabad, Telangana",2286,Mc iski maa ki saaki naaka lakashaka laka boom boom...
I was asked to pay something,200,"Births, Family and Care","August 27, 2020","Hyderabad, Telangana",1868,"At GHMC office @ CSC Chikkadpalli, I was asked to give something to speed up name inclusion. Officer didn't had any name tag, but he is the lone perso..."
Fake document keeper shashibala,300,Court Related,"August 21, 2020","Ghaziabad, Uttar Pradesh",1690,"17/8/20,RDC ghaziabad,district consumer forum,12.00in afternoon, ghaziabad,shashibala she taken my documents from my file and I have to go for taking ..."
Asking bribe for gun lisence renewal.,"5,000",Certificates,"August 20, 2020","Gaya, Bihar",1499,Shambhu 17-08-2020 2:30 p.m. Collectorate office Peon...
Bribe from the aggrieved ,"5,00,000",Policies and Procedures,"August 18, 2020","Bangalore, Karnataka",1695,"After the death of a family member of mine due to suicide, we had to report the incident to the police (Annapurneshwarinagar police station). The brib..."
Income Certificate,"1,000",Caste Certificate,"August 18, 2020","Navi Mumbai, Maharashtra",2385,"Designation - Tehsildar of Panvel Date - 17/08/2020 Time - 02:00 P.M Location - Tehsildar Office, Panvel, Dist- Raigad, Maharashtra..."
Complaint against drugging and corruption in court by staff under officers,"10,000",Dates for Hearing,"August 16, 2020","Kurukshetra, Haryana",1821,"Respected sir,  I am writing this letter to you and maybe this is my last hope. In Shahabad Markanda, Kurukshetra, Haryana, Pin Code 136135, Tehsil of..."
Forged documents registered,"20,000",Registrations and Licenses,"August 11, 2020","Bangalore, Karnataka",1700,"Recently our association registered bylaws with forged signature and forged date and forged changes. When residents questions, they challenged them to..."
Balaji Medows/SVS Home City beside BSF SST School - Land purchase Scam,"2,00,000",Caste Certificate,"August 8, 2020","Bangalore, Karnataka",2481,"Hello,  SVS Home City and Balaji Medows layout opposite to Engineers Enclave Apartment BSF Signal Training School Bagalur road Yalhanka is the land wh..."
 Are You in Desperate in need of money ?,"2,22,000",College Leaving Certificate,"August 8, 2020","Tiruppur, Tamil Nadu",2081,"Please we need you help if you Are seeking for an opportunity to sell your organ for money due to financial breakdown, this is your opportunity now an..."
Asked for 50000 for selection in gds abpm,"50,000",Policies and Procedures,"August 6, 2020","Bahraich, Uttar Pradesh",1518,Inspector of post _Rajeev bilochan mishra asked me for 50000 rs bribe while verifing document for gds abpm post.  4/8/2020 3 pm Khargora mod janta int...
No parking zone fine,500,"Traffic Fines, Penalties, Rules","August 4, 2020","Bangalore, Karnataka",1574,"4 Aug, 7:30 pm Kudlu gate, officer name hidden. Was raining heavily, my wife had medical emergency (cough and breathlessness). As there were 2 cars al..."
Forged bylaws documents,"10,000",Aadhaar Card Process,"August 3, 2020","Bangalore, Karnataka",2621,Recently our society association released a bye laws where they forged the signature of residents. Of course they used dalal to get it done. They also...
We offer flexible loans and funding for various projects.This loan…,"4,00,00,000",Others,"August 2, 2020","Mangalore, Karnataka",2092,We offer flexible loans and funding for various projects.This loan allows client to enjoy payback for as low as 3% interest for a period of 3 or more ...
We offer flexible loans and funding for various projects.This loan…,"3,00,00,000",Others,"August 2, 2020","Navi Mumbai, Maharashtra",2030,We offer flexible loans and funding for various projects.This loan allows client to enjoy payback for as low as 3% interest for a period of 3 or more ...
Digital Media Doesn’t Work Well With Your Bathroom Magazine Rack,"1,200",Others,"August 1, 2020","Adra, West Bengal",1145,"Magazines unfortunately, are going the route of the Newspaper. Disappearing from magazine racks, everywhere. While I do read a tremendous amount of ma..."
"Serial Killers, What is America’s Perverse Fascination With Them?","1,200",Others,"August 1, 2020","New Delhi, Delhi",1707,"I’ll admit, I don’t have the answer to that question, but read on for some truly chilling thoughts, facts and information about a weirdly popular ..."
Bribe by authorities upto state minister,"2,00,000",Building Construction Approval,"July 30, 2020","Madurai, Tamil Nadu",1665,"C. V. Shanmugam, Minister, Tamil Nadu..."
Silencer Air+ Wireless Follow Focus at 24shots.com,"1,200",Others,"July 29, 2020","Adari, Uttar Pradesh",1653,"We at 24shots (24shots.com) is a top, certified, trusted, best and leading organization of experienced camera gear enthusiasts that offers the cheap a..."
Land sale,"50,000",Income Tax,"July 14, 2020","Mumbai, Maharashtra",2369,I sold an agricultural land in Lonavala in Jul 2016 for Rs.40 Lacs. I mentioned it in my IT returns as agricultural income. I got a notice under 143(2...
Corruption going on from 4year,"4,00,000",Allotment of subsidized housing,"July 12, 2020","Mumbai, Maharashtra",2296,Here in vile Parle prem nagar mumbai. The land of bmc/S.R.A.  is used as an warehouse by some local politician. This place is given to a business man ...
Traffic senior officials are corrupt and creating life threatening situations in duty sessions ,"4,000","Traffic Fines, Penalties, Rules","July 6, 2020","Ranchi, Jharkhand",1534,"I never hope this will happen to me,, in my life. Today I had to pay challan amount and bribe too. As per Covid-19 effect government announced PUC wil..."
Had a self accident. No third party was injured. Had to pay 10K to allow police to let me go.,"10,000","Traffic Fines, Penalties, Rules","July 2, 2020","Margao, Goa",964,"Tukaram Shirodkar from Goa police took 10,000 from me to file a report. Insurance company said they didn’t need the report as it was a self accident..."
Bakishpatra-vina mobdala,"20,000",Property Registration,"June 29, 2020","Hingoli, Maharashtra",957,Sub Registrar officer 1at Basmath tw Basmath . Dist Hingoli.  Date- 24/06/2020 time  11am Karkhana Road. Taluka sub Register offi Basmath. Dist Hingol...
Corruption in purchase of medicine and surgical items,"1,00,000",Traveling without Ticket,"June 24, 2020","Patna, Bihar",2144,Purchase of medicine and surgical items at higher rate .caucus of suppliers. Bribe demanded for limited tender offer .central super speciality hospita...
Corrupt management ( bribe from all the employees  every month ),"1,500",Excess Baggage,"June 22, 2020","Jabalpur, Madhya Pradesh",1549,Management at dumna airport is highly corrupt . Urgent action is required. Employees are charged after they receive the payment which they receive mon...
"Paid  a bribe of Rs. 25000 to then vice-chancellor, TNJFU for completion of M.F.Sc. ","25,000",Certificates,"June 18, 2020","Ponneri, Tamil Nadu",961,"I had completed all my thesis work for the completion of M.F.Sc. degree at Dr. M.G.R. Fisheries College and Research Institute, Ponneri under the Chai..."
Police asked bribe,580,Traffic Violations,"June 14, 2020","Bangalore, Karnataka",2662,"Dear Sir,   On 13 June 2020 time around 10:15pm to 11:00pm , evening there have been two cops caught a bike in that they are going triple, the bikers ..."
Asking for bribe each time,100,Bill Payment,"June 2, 2020","Bangalore, Karnataka",1976,Each house is paying 50 - 100 rs when ever he turns on water...if someone is refusing he will not leave water....there are more than 2000 houses in ou...
"Losing Weight. If it Was Easy, Everyone Would be Doing It.","1,200",Others,"July 28, 2020","New Delhi, Delhi",1691,"Even though I was a pretty active child, I was admittedly lazy when it came to household chores. But between eating for the kids in India, and my cand..."
"What do Anthony Bourdain, Chris Farley and Michael Jackson, Have in Common?","1,200",Others,"July 28, 2020","Nellikuppam, Tamil Nadu",838,"The question is, were these people suffering from lifelong a mental affliction, or was the end brought on by the sudden fame, fortune and excesses tha..."
Enroll for a new Aadhaar,100,Others,"July 27, 2020","Gurgaon, Haryana",1282,After trying to enroll 2 times before I was able to do so but after paying 100Rs. The two previous times they didn't allow me to do it because they wa...
For Police Clearance Certificate,"2,000",Autorickshaws,"July 25, 2020","Mumbai, Maharashtra",2438,Mumbai police commissioner's office  officer upfrontly asked for bribes and also at samata nagar police station...
"Kalyan Malang road flat registration, every one has to pay 35000 to 65000 bribe","35,000",Building and Housing,"July 24, 2020","Thane, Maharashtra",1618,"Kalyan Malang road flat registration, every one has to pay 35000 to 65000 bribe. My builder category told that without paying bribe, we can't procedur..."
Safety Plug Hug - A Cord Saver at Hardworkingproducts.com,"1,200",Others,"July 21, 2020","Adoni, Andhra Pradesh",1408,"Buy and wholesale online right now the best, top, cheap, certified and reasonably priced revolution electric cigarette machine, fresh choice cigarette..."
"OMG, I Take so Many Pills, Even Elvis Presley Would be Impressed! Read on…","1,200",Others,"July 21, 2020","Adoni, Andhra Pradesh",1317,"Pills, pills, pills. I just took stock of all the crap I take every day and up until this point, it never really hit me about the vast quantity of med..."
Why May 25th Is the Most Important Day of the Year?,"1,200",Others,"July 21, 2020","Adilabad, Telangana",1256,"Today is May 25th, seems like a pretty ordinary day, or is it? Let’s explore.All I ask is that you give this day just a little more thought than it�..."
Bribe against signature,"10,000",Others,"July 18, 2020","Jaipur, Rajasthan",1424,Mr. Rishbh Jain Senior Inspector boiler department posted in jaipur 17/07/2020 Jaipur   Mr. Jain asked a bribe to sign the documents. Even he also sai...
Land sale,"50,000",Income Tax,"July 14, 2020","Mumbai, Maharashtra",2345,I had reported this sometime in the morning. However I forgot to give the details. Since 2007 i have been living in Bengaluru. Before that i was worki...
Bribed the police during my police verification,"1,000",Passport Status and Delivery,"May 2, 2020","Kolkata, West Bengal",1683,"I had been waiting on my passport for more than a year as i had not paid the police bribe the first time, i received a letter from the passport seva d..."
Even after dc order they have not processed the request ,"10,000",Land Registration,"May 1, 2020","Tumkur, Karnataka",2006,My land is having -p land for making the changes I had requested dc and got letter to revenue department in kunigal for processing the request it is a...
The whole gvmc engineering dept is corrupted,"10,000",Government Personnel,"May 1, 2020","Visakhapatnam, Andhra Pradesh",1772,The zone 2 engineering staff including work inspector to EXECUTE ENGINEER everyone are corrupted....I fed up with this I've seen calmly as they are de...
Job of Assistant Teacher,"1,80,000",Job Application,"April 30, 2020","Mumbai, Maharashtra",2700,"Paid in a school shantaram krishnaji pant walawalkar high school year 2009 Place Nehru Nagar kurla east  Mumbai 400024 Paid Rs 1,80,000 for the assist..."
Complaint against a corrupt Markfed officials,"1,00,000",Food and Supply,"April 28, 2020","Mansa, Punjab",1080,"Dear Sir, This is to inform you about the high level corruption done by Markfed Mansa employees name Gagan Manager Markfed Mansa and Sukhpreet Singh. ..."
"Hello men and women, If you are in financial crisis. Here is an…","4,00,00,000",Others,"April 26, 2020","Mysore, Karnataka",2410,"Hello men and women, If you are in financial crisis. Here is an opportunity for you to sell one  organ for 4 crore rupees,if you are completely health..."
GENUINE DONORS NEEDED!!! Male/Female who are healthy and 100 serious…,"4,00,00,000",Others,"April 26, 2020","Chennai, Tamil Nadu",2434,"GENUINE DONORS NEEDED!!! Male/Female who are healthy and 100 serious in selling their organ B plus ve , O plus ve and A plus ve for money 4 crore kind..."
"Paid Bribe To Gokul Township Police, Virar(W)","10,000",Others,"April 25, 2020","Thane, Maharashtra",1997,I open my shop on 24/04/2020 to sell 5kg gas cylinder. The police officer came and told me to close the shop and sit in his vehicle which is Grey colo...
"Please support us with funds to fight this covid-19 pandemic , covid-19…","2,000",Others,"April 24, 2020","Hubli, Karnataka",1901,"Please support us with funds to fight this covid-19 pandemic , covid-19 patients need help please , for more information to the person willing to dona..."
"Please support us with funds to fight this covid-19 pandemic , covid-19…","3,000",Others,"April 24, 2020","Hyderabad, Telangana",2105,"Please support us with funds to fight this covid-19 pandemic , covid-19 patients need help pls , for more information to the person willing to donate ..."
Parked in No Parking,500,"Traffic Fines, Penalties, Rules","May 27, 2020","Mysore, Karnataka",2110,"I had parked my car in no parking area , the traffic police had locked my car tyre. He took Rs. 500 from me and did not give challan. This incident to..."
Parked In No Parking ,400,"Traffic Fines, Penalties, Rules","May 27, 2020","Chamarajanagar, Karnataka",1054,"Sir I had parked my bike in No Parking , they took Rs.400 from me , it was lady inspector. They did not give any challan for the amount taken. Speakin..."
Risk of covid 19 from opening college,100,College Leaving Certificate,"May 27, 2020","Muktsar, Punjab",2235,We are staff members from gtbkiet chhapianwali malout our college could not give us salaries from last 13 months we are in problem now they give us no...
I invested on bitcoin mining and within a week i'm earning up to  five laks,"10,000",Loan Sanctioning,"May 22, 2020","Mumbai, Maharashtra",2456,"I started investing in Bitcoins, a few weeks ago, I invested $1000 on his platform I got paid $7500 from crypto trading within a month.Too good! I too..."
Bribe of new house water connection,"25,000",Water Connection,"May 21, 2020","Bangalore, Karnataka",1407,Had to pay 25k bribe in May 2017 to Anand(phone: 9686566954) in BWSSB In HRBR layout in KalyanNagar. He said he will delay the water connection for my...
Ten crores of corruption in gst vadodara two,"20,00,000",Assessment,"May 20, 2020","Abohar, Punjab",2500,Sanjay patel and pankaj singh nathawat of gst preventive of gst division 2 of vadodara. are most corrupt officals in gst department . they have made o...
Bribe taken by pollution office of Raipur (CG) ,"2,00,000",,"May 15, 2020","Raipur, Chhattisgarh",1600,Name of the officer- Mr.Upadhya Date of incident - 22/12/2019 Time of incident - 12:00 noon  Location - Raipur (CG) Kabir Nagar pollution office  Desg...
Installation on BSNL landline. ,"1,000",Policies and Procedures,"May 14, 2020","Baramula, Jammu and Kashmir",1095,"8th May, 2020 Pattan, Baramulla.  J&k  I wanted BSNL broadband to be installed at my home in Pattan, Baramulla. So I went to the local exchange but to..."
RC Airfilter Supercharger Innovations,"1,200",Others,"May 10, 2020","New Delhi, Delhi",2210,"Buy online the , top and affordable traxxas t maxx 2.5, hpi rs4 nitro, hpi savage xl 5.9, hpi savage xl, losi 5ive, team associated rc10gt, xtm mammot..."
To meet the dcp zone 5of Thane i was demanded 50000 by his reader,"50,000",FIR and Complaints,"May 9, 2020","Thane, Maharashtra",2237,Dear sir There was a theft in my office at Godbunder i approached kasarvadavli police station to Lodge a complaint police officals refused to Lodge a ...
"Please support us with funds to fight this covid-19 pandemic , covid-19…","5,000",Others,"April 24, 2020","Mumbai, Maharashtra",1811,"Please support us with funds to fight this covid-19 pandemic , covid-19 patients need help pls , for more information to the person willing to donate ..."
"Please support us with funds to fight this covid-19 pandemic , covid-19…","2,000",Others,"April 24, 2020","Pune, Maharashtra",1979,"Please support us with funds to fight this covid-19 pandemic , covid-19 patients need help pls , for more information to the person willing to donate ..."
Bribe asked for not generating a RC,"1,000",Autorickshaws,"April 23, 2020","Chandigarh, Chandigarh",2559,"Traffic police at chnadigargh entry from himachal,  25th july ' 19 around 6pm  ..."
Electric Cigarette Machine | Electric Cigarette Maker,"1,200",Others,"April 22, 2020","New Delhi, Delhi",2043,"Buy/wholesale online best, top, cheap, certified and reasonably priced revolution electric cigarette machine, fresh choice cigarette machine, electric..."
RC Nitro Supercharger | RC Nitro Engines,"1,200",Others,"April 21, 2020","Adilabad, Telangana",1444,"Buy online the , top and affordable traxxas t maxx 2.5, hpi rs4 nitro, hpi savage xl 5.9, hpi savage xl, losi 5ive, team associated rc10gt, xtm mammot..."
Follow Focus | Wireless Follow Focus,"1,200",Others,"April 21, 2020","New Delhi, Delhi",1991,"We at 24shots (24shots.com) is a top, certified, trusted, best and leading organization of experienced camera gear enthusiasts that offers the cheap a..."
Petty Bribing for absolutely legal acts,200,"Traffic Fines, Penalties, Rules","April 20, 2020","Chennai, Tamil Nadu",2532,Covid19 times are no doubt so much testing. And governments are asking people to stay indoor and imposing guidelines and restrictions. Who would want ...
Nalavariyam for fisherman society ,100,Government Schemes,"April 12, 2020","Chennai, Tamil Nadu",3409,"In Royapuram, panamaraithotti (East Madha Koil street) , Fisherman society nalavariyam each is collected 100 rs for 1000rs to be deposited from govern..."
Police harrasment,500,"Traffic Fines, Penalties, Rules","April 11, 2020","Bangalore, Karnataka",2075,"Me and my friend (girl) were talking outside the park located in Jayanagara 4th T block near coffee day, same time two police constables from tilak Na..."
For loan approal,"10,000",Loans,"April 9, 2020","Bangalore, Karnataka",2133,I Paid a Bribe is a site that focuses on crowdsourced reports of corruption and bribery from India and all over the world.  The site lays emphasis on ...
Test33132 w r rq3 r3r  r,"2,132",Excess Baggage,"April 6, 2020","Abohar, Punjab",2510,13 344 2 22 35  2 2 5232 235  32  2 2...
Fully corruption ,"1,00,000",Government Schemes,"April 6, 2020","Satna, Madhya Pradesh",1713,There will taken amount of making green card 500 to 1000Rs cash  every govt hospital ...
Took bribe for registration of marriage,"3,500",Marriage Certificate and Registration,"April 6, 2020","Bangalore, Karnataka",2134,Sep 10th of 2018 our marriage was registered under special marriage Act. The registrar and an attendant took us into another room and openly asked for...
Late shop open,500,Police Harassment,"April 4, 2020","Siwan, Bihar",3176,In the mid of this lockdown... As my Father was closing shop at 6:30 . police arrived and demanded for bribe and tha same police office has also deman...
"Tune-Up Kit for Revolution, Fresh Choice, Just Good Tobacco Electric Cigarette Machine","12,000",Others,"April 2, 2020","Adari, Uttar Pradesh",2098,"Buy online best and affordable Tune-Up Kit for Revolution, Fresh Choice, Just Good Tobacco Electric Cigarette Machine - A tune-up kit replaces all the..."
Silencer Flight Follow Focus and Zoom System for Aerial Rigs at 24shots.com,"1,200",Others,"April 2, 2020","Adoni, Andhra Pradesh",2079,"We at 24shots.com offers you the cheap, certified, affordable, best motorized follow focus and dslr motorized zoom for sale with advanced features tha..."
Verification for govt job,300,Background Verification,"March 30, 2020","Jammu, Jammu and Kashmir",2770,"Police station Arnas, district reasi, Jammu and Kashmir  Paid to Ramesh  Kept me waiting for 6 hours, used foul language. Became sweet only when I pai..."
Kaveri water pipe repair,"3,000",Services,"March 29, 2020","Bangalore, Karnataka",2118,Kaveri waterpipe and borewell water pipe damaged during road digging by BWSSB personnel for laying new sewerage pipes. I had to plead for repair and a...
Passport Verification ,150,Verification and Certificates,"March 26, 2020","Ernakulam, Kerala",1516,Pattinattom police station Officer name Sainudheen...
Bribe for chai pani,"5,000",FIR and Complaints,"March 23, 2020","Mumbai, Maharashtra",2760,A police officer came sitting in his vehicle MH01.2815 IN BAIGANWADI GOVANDI  AND ASKED FOR CHAI PANI TO GIVE  I DENIED HIM TO GIVE  HE DIRECTLY SLAP ...
Bribe from bar owners,"1,00,000",Autorickshaws,"March 21, 2020","Tiruchirapalli, Kerala",2748,"Vinod kumar, who is working as sub inspector in manapparai. He is receving bribe from public especially from the bar owners and for complaints.around1..."
TRANSFER ONE STATE TO OTHER,"2,50,000",Others,"March 20, 2020","New Delhi, Delhi",2554,He is in ministry of finance. 2019 in January i give the money to transfer one state other state.his name is Jai barwa. he is posted in delhi ...
Building construction permission ,"2,500",Building and Housing,"March 19, 2020","Rewa, Madhya Pradesh",1620,"The engineer came today morning for taking photo of plot for which I have applied for permission , and he denied to take photo without the money. And ..."
Natural Glass Tumblers from Oaxaca Large at Hardworkingproducts.com,"1,200",Others,"March 17, 2020","New Delhi, Delhi",2698,"Wholesale online best, cheap and beautiful handcrafted drinking glasses or wine glasses made from recycled glass and every large tumbler is handcrafte..."
Fine for wearing music player while driving two wheeler,300,"Traffic Fines, Penalties, Rules","March 16, 2020","Chennai, Tamil Nadu",3092,I was traveling from  Guindy to Koyembedu on 16th March Evening 7PM on my two-wheeler. I usually wear a music player to listen to music. That day I wa...
Bribe for taking left without any sign of ,300,"Traffic Fines, Penalties, Rules","March 16, 2020","Bangalore, Karnataka",2045,I was at https://goo.gl/maps/1jp21wj4hXU6ZZaN9  around 1PM its nearby agara lake. I took left turn on empty road and at 100 meters police was stopping...
Ambarnath trafic police taken bribe,200,Autorickshaws,"March 16, 2020","Thane, Maharashtra",2862,"This incident happened at Ambarnath ,near police petrol pump Ambarnath west, Dist- thane. This officer is very corrupt. If u have relative or ur frien..."
